"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"1110065P20Rik","other","NA","NA","NA","prostate","NA","androgen signaling","NA","NA","NA","NA","hepatocellular carcinoma, prostate cancer","oncogenic (HCC: overexpressed, promotes proliferation)","NA","NA","Human ortholog C1orf122 is overexpressed in HCC and promotes tumor cell proliferation; androgen-regulated in prostate cancer cells."
"1500011H22Rik","other","NA","NA","NA","liver, testis","hepatocytes, spermatozoa","NA","male infertility (FAM216A KO in mice)","moderate","NA","NA","hepatocellular carcinoma","oncogenic (overexpressed, promotes proliferation and invasion)","NA","NA","Human ortholog FAM216A (also CCDC166-associated) is overexpressed in HCC and required for male fertility in mice."
"1700021F05Rik","other","RNA binding / mitoribosome quality control","mitochondrial mRNA","mitochondrial matrix","ubiquitous","NA","mitochondrial translation, oxidative phosphorylation","NA","NA","NA","NA","NA","NA","NA","NA","Human ortholog C6orf203/MTRES1 is a mitoribosome-associated RNA-binding protein involved in mitochondrial translation quality control under stress conditions."
"1700066M21Rik","enzyme","esterase / lipase (putative)","unknown lipid substrates","mitochondrial","brain, ubiquitous","neurons","autoinflammation, oxidative phosphorylation, mitochondrial function","fatal autoinflammatory syndrome with leukoencephalopathy, seizures, neurodegeneration, microcephaly (LOF in humans)","severe","progressive leukoencephalopathy, seizures, neurodegeneration","yes (progressive leukoencephalopathy)","NA","NA","COXPD53 (combined oxidative phosphorylation deficiency type 53), autoinflammatory encephalopathy","NA","Human ortholog C2orf69 is an esterase-homolog required for mitochondrial function; biallelic LOF causes fatal autoinflammatory leukoencephalopathy with seizures and neurodegeneration."
"1700081L11Rik","scaffold/adaptor","transcriptional coregulation, histone acetyltransferase complex scaffolding","chromatin","nucleus","ubiquitous","neurons","chromatin organization, autophagy, Notch/KANSL1 complex","Koolen-de Vries syndrome features in heterozygous KANSL1 loss; DDH in mice with Kansl1 mutation","moderate-severe","intellectual disability, autism (in Koolen-de Vries syndrome associated with KANSL1)","NA","osteosarcoma, uterine sarcoma","fusion partner (KAT6B::KANSL1 in uterine mesenchymal tumors)","Koolen-de Vries syndrome, progressive supranuclear palsy (17q21.31 locus)","NA","Human ortholog KANSL1 (17q21.31) is a chromatin-associated scaffold subunit of the NuA4/KAT8 acetyltransferase complex required for histone acetylation; haploinsufficiency causes intellectual disability."
"1810027O10Rik","other","NA","NA","NA","prostate, ubiquitous","NA","NA","NA","NA","NA","NA","prostate cancer","biomarker (urinary proteome)","NA","NA","RIKEN gene with no characterized function; human ortholog TMEM256 is a reference gene used for expression normalization and a candidate urinary biomarker in prostate cancer proteomics."
"1810049H13Rik","enzyme","oxidoreductase","mitochondrial substrates","mitochondrial","heart, ubiquitous","cardiomyocytes","mitochondrial homeostasis, oxidative stress response","NA","NA","NA","NA","colon cancer","prognostic biomarker","NA","NA","Human ortholog OXLD1/C17orf90 is a mitochondrial oxidoreductase-like protein whose levels decrease under hypoxia in cardiomyocytes; expression is prognostic in stage II colon cancer."
"2310022A10Rik","other","NA","NA","NA","brain","glioma cells","AKT signaling","NA","NA","NA","NA","glioma","fusion oncogene partner (C19orf47-AKT2 chimeric RNA promotes glioma)","NA","NA","Human ortholog C19orf47 is a fusion partner in a chimeric C19orf47-AKT2 RNA that activates AKT signaling and is prognostically relevant in glioma."
"2310035K24Rik","other","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","No abstracts available; RIKEN gene with no characterized function and no available literature evidence."
"2510003E04Rik","scaffold/adaptor","kinesin inhibition (binding and blocking motor heads)","kinesin superfamily motors (KIF2A, KIF18B and 6 others)","cytoplasm, axons","brain, peripheral nervous system","neurons","axon transport, microtubule dynamics, mitochondrial biogenesis","Goldberg-Shprintzen syndrome (GOSHS): microcephaly, intellectual disability, Hirschsprung disease, peripheral neuropathy (LOF)","severe","microcephaly, intellectual disability, peripheral neuropathy, progressive ataxia","NA","NA","NA","Goldberg-Shprintzen syndrome (GOSHS)","NA","Human ortholog KIFBP/KIF1BP inhibits 8 kinesin motors by binding their catalytic heads; loss of function causes Goldberg-Shprintzen syndrome with microcephaly and neurodegeneration."
